knowledge_id,category,topic,question,answer,policy,eligibility,process,timeline,escalation_required,source_reference
KB-001,Shipping and Delivery,Standard shipping,What is standard shipping?,Standard shipping is the regular delivery option for eligible destinations and orders.,Standard shipping availability and charges are determined by the applicable shipping policy.,Eligible orders and destinations shown by the business are included.,Select standard shipping during checkout when it is offered.,Use the general delivery timeline provided in the approved shipping information; do not promise a date without live order data.,No,Shipping Policy
KB-002,Shipping and Delivery,Express shipping,Is express shipping available?,Express shipping may be available for eligible orders and destinations when the option is shown at checkout.,"Express shipping availability, charges, and service limits follow the approved shipping policy.","Eligibility depends on the destination, order contents, and availability shown at checkout.",Choose express shipping at checkout if the option is available.,Use the approved express delivery guidance; do not infer a live arrival date.,No,Shipping Policy
KB-003,Shipping and Delivery,Shipping eligibility,How can I tell whether my order qualifies for shipping?,"Shipping eligibility is determined by the delivery destination, order contents, and the shipping options available for the order.",Only shipping options presented through approved business information should be described as available.,An order is eligible when an approved shipping option is available for its destination and contents.,Review the shipping options presented during checkout or ask human support to confirm an exception.,No delivery estimate should be given until an eligible shipping method is selected.,No,Shipping Policy
KB-004,Shipping and Delivery,Shipping delays,What should I do if my shipment is delayed?,A delayed shipment should be checked against the latest available order information and the approved delivery guidance.,General delivery guidance does not replace live carrier or order information.,This guidance applies to customers reporting that delivery has not occurred within the expected general timeline.,"Explain the general policy, avoid promising a new date, and escalate when live status or exception handling is needed.","The applicable timeline is the approved estimate for the selected shipping method, subject to delivery events and exceptions.",Yes,Shipping Policy
KB-005,Shipping and Delivery,Normal delivery timelines,How long does delivery normally take?,"Normal delivery timing depends on the shipping method, destination, and order circumstances.",Published delivery timelines are estimates and should not be presented as guaranteed arrival dates.,The general timeline applies to eligible orders using the stated shipping method.,Identify the shipping method from available context and provide only the corresponding approved general guidance.,Use the timeline in the approved shipping information; no specific timeline is invented when it is absent.,No,Shipping Policy
KB-006,Shipping and Delivery,Delayed delivery,My order has not arrived within the expected timeframe.,The chatbot can explain the general delay policy but cannot confirm a live delivery event without connected order information.,Do not state that an order is lost or provide a new arrival date without verified live information.,Applies when a customer reports a delivery outside the approved general estimate.,"Acknowledge the concern, explain the general policy, and direct the case to human support for order-specific review.",Human support should review the latest available delivery information; no new timeline is promised by the chatbot.,Yes,Shipping Policy
KB-007,Shipping and Delivery,Failed delivery,What happens after a failed delivery attempt?,A failed delivery may require review of the carrier or order-specific instructions before the next step is confirmed.,The chatbot must not assume the reason for a failed attempt or change delivery instructions.,Applies when a customer reports a failed or missed delivery attempt.,Explain that human support or the approved carrier process must confirm the available next step.,The next attempt or resolution timeline depends on verified order and delivery information.,Yes,Shipping Policy
KB-008,Shipping and Delivery,Delivery escalation,When should a delivery issue be escalated?,"Escalate when delivery is delayed beyond the approved estimate, has failed, is disputed, or requires an order-specific intervention.","Cases requiring live delivery details, exceptions, or changes must be handled by human support.",Applies to any delivery issue that cannot be resolved with general policy information.,Capture the relevant conversation details and route the case for human review.,Human support determines the review timeline; the chatbot must not promise an outcome.,Yes,Shipping Policy
KB-009,Returns and Refunds,Return eligibility,How do I know if an item can be returned?,"An item may be returnable when it meets the approved return policy, including applicable item condition and return-window requirements.",Return eligibility is governed by the approved returns policy and any stated exclusions.,The customer must meet the applicable policy conditions; the chatbot cannot approve an exception.,Compare the customer's general question with the approved policy and escalate uncertain or exceptional cases.,The return request must be made within the approved return window when one applies.,No,Returns Policy
KB-010,Returns and Refunds,Return window,What is the return window?,The return window is the period stated in the approved returns policy for eligible items.,The return window is policy information and may vary by item type or stated exclusion.,Only returns meeting the applicable window and other policy conditions are generally eligible.,Use the approved returns policy to explain the applicable window without inventing a date for a particular order.,The policy-defined return window applies from the relevant event specified in the approved information.,No,Returns Policy
KB-011,Returns and Refunds,Return process,What is the process for returning an item?,The customer should follow the approved return instructions for the eligible item and retain any required return confirmation.,Return steps must follow the approved returns policy; the chatbot does not create or approve a return transaction.,The process applies after the item is determined to meet the return policy.,Explain the documented return steps and direct the customer to human support when the required option or instruction is unavailable.,Return handling follows the policy timeline and any updates provided by human support.,No,Returns Policy
KB-012,Returns and Refunds,Non-returnable items,Are some items non-returnable?,Some item types may be excluded from returns under the approved returns policy.,Only exclusions explicitly stated in approved business information should be described.,An item covered by an approved exclusion is not eligible for a standard return unless human support confirms an applicable exception.,Explain the published exclusion and escalate any request for an exception.,No return timeline applies to an item confirmed as excluded from standard returns.,Yes,Returns Policy
KB-013,Returns and Refunds,Damaged or incorrect items,What should I do if my item is damaged or incorrect?,A damaged or incorrect item should be reported for order-specific review under the approved returns policy.,"The chatbot must not decide the remedy or issue a replacement, refund, or return authorization.","Applies when the delivered item is reported as damaged, defective, or different from what was ordered.","Acknowledge the issue, capture relevant details through the approved documentation process, and escalate to human support.",Human support confirms the review and next-step timeline; the chatbot does not promise a resolution date.,Yes,Returns Policy
KB-014,Returns and Refunds,Return escalation,When does a return request need human support?,"Escalate when eligibility is unclear, an exception is requested, an item is damaged or incorrect, or a return action requires account access.",Human support handles exceptions and any action requiring privileged or transactional access.,"Applies to return questions outside clear, approved policy guidance.",Document the customer's relevant details and route the case for human review.,Human support determines the next-step timeline; no outcome is guaranteed by the chatbot.,Yes,Returns Policy
KB-015,Returns and Refunds,Refund eligibility,When is a refund generally eligible?,A refund is generally considered after an eligible return is accepted under the approved refund and returns policies.,The chatbot may explain refund policy but cannot approve or issue a refund.,Eligibility depends on the applicable return being accepted and any policy conditions being met.,Explain the general policy and escalate requests that require checking a specific return or refund record.,Use the approved refund timeline for general guidance; do not provide an order-specific status without live information.,No,Refund Policy
KB-016,Returns and Refunds,Refund process,How does the refund process work?,"After an eligible return is accepted, the refund follows the steps and conditions described in the approved refund policy.",The chatbot provides policy guidance only and does not execute financial transactions.,The return and refund must satisfy the approved policy conditions.,Explain the general documented process and escalate when a specific refund record or payment method must be reviewed.,The approved refund timeline begins according to the policy-defined event and may depend on processing.,No,Refund Policy
KB-017,Returns and Refunds,Refund timeline,How long does a refund normally take?,Refund timing follows the general timeline stated in the approved refund policy after the applicable processing event.,A general refund timeline is an estimate and is not a confirmation that a particular refund has been issued.,Applies to refunds that meet the approved eligibility and processing conditions.,Provide the general policy timeline and direct order-specific questions to human support.,Use only the approved general refund timeline; do not invent a date or payment-provider outcome.,No,Refund Policy
KB-018,Returns and Refunds,Refund delays,What should I do if my refund is delayed?,A delayed refund requires review of the return and refund status using verified information.,The chatbot must not claim that a refund was issued or estimate a payment date without live records.,Applies when the customer reports that the approved refund timeline has passed.,"Acknowledge the concern, explain the general policy, document relevant details, and escalate for human review.",Human support confirms the status and any available timeline; the chatbot makes no new promise.,Yes,Refund Policy
KB-019,Returns and Refunds,Refund escalation,When must a refund question be escalated?,"Escalate when a customer asks for a real refund, disputes a refund result, reports a delay, or needs payment-specific investigation.",Real refunds and payment investigations require authorized human support.,Applies to requests that cannot be answered using general refund policy information.,Document the relevant conversation details and route the request to human support.,Human support determines the review timeline; the chatbot must not promise a refund outcome.,Yes,Refund Policy
KB-020,Returns and Refunds,Cancellation before shipment,Can an order be cancelled before shipment?,A cancellation request before shipment requires checking the live order state and authorized cancellation process.,The chatbot may explain that cancellation can depend on order state but cannot cancel a live order.,The request may be eligible only when the live order state and policy permit cancellation.,Provide general guidance and escalate the request for an authorized order review.,Human support confirms whether cancellation is possible before shipment processing advances.,Yes,Cancellation Policy
